ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
0,Young adult,Low,F,S,1,38000.0,N,24,147889187,6549061697939450,19471111,159 HUTTON ST BSMT A,,ABSECON,NJ,8201,0,,,59755.98,206,29877,2987,51.5,3,10,2987.799,0.0
1,Adult,Low,M,M,2,29616.0,N,49,113772166,6436360484417351,19920317,31 WOODLAND RD,,SAINT LOUIS,MO,63121,0,-90.28591800000001,38.687261,29782.98,45,14891,1489,11.25,3,9,1489.149,0.0
2,Adult,Low,M,M,0,19732.8,N,51,132420919,4849378808118089,19070908,1910 COCHRAN RD STE 600,,KEARNY,NJ,7032,0,,,24812.48,22,12406,1240,5.5,1,9,1240.624,0.0
3,Adult,High,M,S,2,96.33,N,56,700548452,2926742654852808,19800429,187 HAYES MILL RD APT 17,,RUSTON,LA,71270,0,-92.629521,32.531971,26132.61,32,13066,1306,8.0,3,5,0.0,1306.6305
4,Young adult,High,F,M,2,52004.8,N,25,141013706,4132500804622620,19790116,RR 1 BOX 57B,,MONTGOMERY,AL,35125,0,-86.270005,33.593191999999995,5030.5,23,1257,125,3.45,2,19,0.0,251.525
5,Young adult,High,M,M,2,53010.8,N,19,163371244,2231773884473986,19921206,7850 45TH AVE NW,,CHESTER,MA,1011,0,,,12451.25,46,6225,622,11.5,2,8,0.0,622.5625
6,Senior,Medium,M,M,1,75004.5,N,65,182544864,7349439804241836,19110424,RR 1 BOX 47,,NEW CASTLE,PA,16102,0,,,26522.65,32,13261,1326,8.0,4,10,0.0,1326.1325
7,Adult,High,M,M,0,19749.3,N,60,206227068,5553618912566583,19121123,515 KENSINGTON ST,,ISSAQUAH,WA,98075,0,,,20222.02,13,10111,1011,3.25,3,10,0.0,1011.101
8,Adult,Medium,M,S,1,57626.9,Y,44,131059071,9119007527242906,19160426,6077 STATE ROUTE 149,,SHAVERTOWN,PA,18708,0,,,9380.94,38,2345,234,5.7,2,15,0.0,234.5235
9,Adult,Medium,M,M,2,20078.0,N,33,119762649,6813572896826394,19770209,188 W OLYMPIC PL,,EL PASO,TX,79925,0,-106.34411000000001,31.79488,9650.97,6,2412,241,0.9,3,11,0.0,241.27425
10,Young adult,Low,F,M,2,47902.0,N,26,817366094,2046608099384582,19050201,21579 LARAMIE RD,,PHILADELPHIA,PA,19104,0,-75.20699499999999,39.964314,17441.74,49,8720,872,12.25,2,8,872.087,0.0
11,Child,High,M,M,1,7545.96,Y,17,451541224,4045479553572871,19241001,1 PLAINVILLE CIR,,HAVERHILL,MA,1835,0,,,22392.24,178,11196,1119,44.5,1,5,0.0,1119.612
12,Adult,Medium,F,S,0,78851.3,N,48,124158559,8979358234254837,19330614,4716 SW VIOLA CT,,TENAFLY,NJ,7670,1057,,,370.04,28,92,9,4.2,5,13,0.0,9.251
13,Adult,High,F,S,1,17540.7,Y,63,163930462,9050922700714506,19421212,1 HAUN RD,,PHAROAH,OK,74880,0,-96.1266,35.3353,22172.22,13,11086,1108,3.25,4,9,0.0,1108.611
14,Adult,High,F,M,0,83891.9,Y,61,165912006,6325263828540234,19470125,4220 BARDSTOWN RD STE E,,ARENA,ND,58494,0,,,28922.89,45,14461,1446,11.25,5,6,0.0,1446.1445
15,Adult,Low,F,M,2,28220.8,N,39,235315405,4562971044212296,19460220,10167 OAK HOLLOW CIR,,STRAUSSTOWN,PA,19559,0,,,26492.65,12,13246,1324,3.0,1,9,1324.6325,0.0
16,Child,Low,F,S,0,28589.1,N,16,730825728,8111200911782934,19161005,D18 CALLE 5,,HOUSTON,TX,77008,4708,,,13191.32,87,6595,659,21.75,1,7,659.566,0.0
17,Adult,High,F,M,2,5237.63,N,49,908144755,1349244456282176,19381002,3579 N 47TH AVE,,KENOSHA,WI,53142,0,,,13321.33,56,6660,666,14.0,3,7,0.0,666.0665
18,Adult,Low,M,S,2,89459.9,N,53,357654459,5752523444563958,19880801,1310 JOHNSON DR APT 1727 PMB 9182,,BAJADERO,PR,616,0,,,11541.15,22,5770,577,5.5,2,9,577.0575,0.0
19,Adult,High,F,S,1,13576.5,N,39,101289783,6294195441964591,19270412,4097 SANGAMON ST,,JERSEY CITY,NJ,7305,0,-74.09905,40.689953,14831.48,25,7415,741,6.25,5,7,0.0,741.574
20,Adult,Medium,F,M,2,67388.0,N,53,144644584,8710933477799908,19590831,3711 CHIMERA CT,,CLEMSON,SC,29631,0,,,4790.48,91,1197,119,13.65,3,13,0.0,119.762
21,Adult,Medium,F,M,1,57063.0,Y,52,422857673,8825552991904011,19630327,900 GABBEN LN,,RAHWAY,NJ,7065,0,-74.27584399999999,40.612345,16791.68,81,8395,839,20.25,1,6,0.0,839.584
22,Adult,High,F,M,2,84166.1,N,54,124101396,1460799038353957,19180104,3131 W MANSELL ST,,JANESVILLE,CA,96114,0,,,3280.33,11,820,82,1.65,4,15,0.0,164.0165
23,Adult,Low,F,S,1,7737.94,N,43,383856468,7227724785983358,19660529,1055 OVINGTON AVE,,BELCOURT,ND,58316,0,,,11051.11,50,5525,552,12.5,1,7,552.5555,0.0
24,Adult,Low,M,S,2,100020.0,N,50,147312538,7403667971746084,19180109,919 PARK AVE APT 2L,,MARION,IN,46952,0,-85.660023,40.56215,21372.14,293,10686,1068,73.25,3,9,1068.607,0.0
25,Young adult,High,F,M,2,45287.6,Y,29,171549610,4135446386703736,19720406,PO BOX 1484,,HOBOKEN,NJ,7030,0,-74.040971,40.741928,0.0,0,0,0,0.0,0,0,0.0,0.0
26,Adult,Low,F,M,2,59613.1,N,34,100067800,6421595280500096,19990717,993 CEDAR ST,,MILLTOWN,WI,54858,0,,,12371.24,163,6185,618,40.75,2,5,618.562,0.0
27,Adult,High,F,S,1,16326.7,N,51,438552758,6626834475571162,19960204,1100 GRAND ST APT 407,,SCHULENBURG,TX,78956,0,-96.907808,29.675959000000002,0.0,0,0,0,0.0,0,0,0.0,0.0
28,Adult,Low,F,S,2,9559.78,N,51,684764512,4126848473512449,19820813,1575 S MARKET ST STE 109,,HUNTSVILLE,AL,35801,0,-86.585312,34.733646,18311.83,59,9155,915,14.75,4,8,915.5915,0.0
29,Adult,High,F,M,2,42031.8,N,51,112019414,7446320238860000,19070204,3077 CALLE BERMUDA PMB 108065,,PHOENIX,AZ,85040,0,,,20452.05,39,10226,1022,9.75,3,8,0.0,1022.6025
30,Young adult,Low,F,M,2,83284.1,Y,28,490486357,6077380700173603,19270606,PO BOX 10092,,JACKSONVILLE,FL,32218,0,,,26912.69,9,13456,1345,2.25,3,6,1345.6345,0.0
31,Young adult,High,M,M,1,39229.1,N,26,161727385,4879693752675334,19190731,267 W 246TH ST,,HOBOKEN,NJ,7030,1789,-74.040971,40.741928,28822.88,13,14411,1441,3.25,3,6,0.0,1441.144
32,Adult,High,F,S,0,68427.4,N,42,110432161,4561878740139876,19990421,PO BOX 3061,,SAINT PAUL,MN,55106,0,-93.03428000000001,44.975861,23762.38,50,11881,1188,12.5,1,8,0.0,1188.119
33,Adult,High,M,S,0,3601.71,N,49,181469555,8702417264590462,19350212,1200 KELHIP RD,,DALLAS,NC,1101,0,,,9570.96,111,2392,239,16.65,1,19,0.0,478.548
34,Young adult,Low,F,M,0,72642.6,N,28,716721191,1281553281090235,19991129,5627 N 16TH ST APT A11,,MEMPHIS,TN,38115,0,,,18661.87,20,9330,933,5.0,1,10,933.0935,0.0
35,Adult,High,F,S,0,98716.3,N,56,152056922,1752682360180863,19200508,B176 I ST,,ROCHESTER,NY,14621,0,-77.604341,43.193416,20972.1,13,10486,1048,3.25,2,7,0.0,1048.605
36,Adult,Low,F,S,2,66182.7,Y,62,130092435,5075837963579047,19590224,PO BOX 10097,,NAVARRE,OH,44662,0,-81.523123,40.727928000000006,11701.17,47,5850,585,11.75,3,5,585.0585,0.0
37,Adult,High,F,M,2,84789.3,N,50,899266055,7606115967222336,19420428,5028 E STATE ROUTE 185,,SAN ANTONIO,TX,78210,0,-98.446634,29.398346000000004,14221.42,10,7110,711,2.5,4,10,0.0,711.071
38,Adult,High,F,M,2,35976.5,Y,49,143535626,9071411873275732,19750331,365 CALLE MENDEZ VIGO PMB 24487,,RACELAND,LA,70394,0,,,18851.89,31,9425,942,7.75,1,9,0.0,942.5945
39,Senior,Low,F,M,0,32703.1,Y,65,464031422,7893071532822576,19640726,400 MOUNT ZION RD,,ALLEN,TX,75002,0,,,16801.68,56,8400,840,14.0,4,8,840.084,0.0
40,Adult,Low,F,M,1,77129.1,Y,62,209689255,1205022323303637,19190608,A1 URB CABRERA,,WILSON,NC,27893,0,-77.914615,35.726554,24772.48,20,12386,1238,5.0,4,5,1238.624,0.0
41,Adult,Low,F,M,2,8204.72,N,53,105238710,7478611844590415,19110607,9 CHURCH ST,,COACHELLA,CA,92236,0,,,15591.56,24,7795,779,6.0,1,10,779.578,0.0
42,Adult,High,M,M,1,97180.4,N,51,915572646,1762699792535821,19310427,3922 US HIGHWAY 1,,HOLLIDAYSBURG,PA,16648,2461,,,8210.82,45,2052,205,6.75,5,15,0.0,410.541
43,Adult,Medium,F,M,0,80405.1,N,60,119099449,4580827044849115,19411227,26808 STATE HIGHWAY M # 1576,,LEECHBURG,PA,15656,0,,,2910.29,17,727,72,2.55,1,13,0.0,72.75725
44,Adult,Low,F,S,2,38280.0,N,34,269169172,2113087385882919,19430625,834 E LEISURE LN,,CABO ROJO,PR,623,0,,,11641.16,74,5820,582,18.5,2,5,582.058,0.0
45,Adult,High,M,S,0,64136.6,Y,61,427209064,7118288531246179,19780522,100 CALLE CISNE,,FOREST HILLS,NY,11375,0,,,16211.62,125,8105,810,31.25,4,8,0.0,810.581
46,Adult,High,F,M,2,45429.7,Y,62,142630990,5589694495219344,19300216,305 PARK RD,,CAROLINA,PR,979,0,,,24702.47,73,12351,1235,18.25,3,9,0.0,1235.1235
47,Adult,High,F,S,0,25285.5,N,54,999994901,3932305630745960,19490507,6576 S NORFOLK ST,,MODESTO,CA,95350,0,,,9370.94,11,2342,234,1.65,4,18,0.0,468.547
48,Adult,High,F,M,2,77551.1,Y,34,518023539,9003548451729280,19170222,41 CALLE UN,,OXFORD,CT,6478,0,,,20532.05,41,10266,1026,10.25,5,5,0.0,1026.6025
49,Child,Medium,F,M,0,38538.4,N,12,178396436,2019231346353505,19491024,51 PEMBROKE DR,,PHILADELPHIA,PA,19152,0,,,22862.29,16,11431,1143,4.0,1,10,0.0,1143.1145
50,Adult,High,F,S,0,69350.5,Y,57,201289273,9184591528181925,19180816,14 FOX,,HOBOKEN,NJ,7030,0,-74.040971,40.741928,1900.19,25,475,47,3.75,3,19,0.0,95.0095
51,Young adult,Low,M,S,2,43634.5,N,22,196446938,1830844418000107,19071128,1 CLEARVIEW AVE,,APO,AE,9074,137,,,29442.94,104,14721,1472,26.0,5,10,1472.147,0.0
52,Adult,High,F,S,1,13109.1,N,63,593383865,6407151363758150,19440223,292 COLLEGE LN,,GRAND ISLAND,NY,14072,0,,,22382.24,40,11191,1119,10.0,2,7,0.0,1119.112
53,Adult,Low,M,S,1,92647.5,N,56,110642304,2350322422131910,19250927,56 S CATHERINE ST APT 165,,OSAKIS,MN,56360,0,,,16041.6,10,8020,802,2.5,5,5,802.08,0.0
54,Adult,High,F,S,2,21021.6,Y,63,200842200,5824057064718588,19050601,1042 RANCHO DURANGO RD,,APO,AE,9036,148,,,1000.1,11,250,25,1.65,1,20,0.0,50.005
55,Adult,Low,M,S,0,74460.7,Y,55,153246377,4283526973638856,19620304,1945 BARRINGTON FERRY RD,,GAINESVILLE,FL,32607,0,-82.408748,29.643582000000002,25532.55,179,12766,1276,44.75,3,5,1276.6275,0.0
56,Adult,Low,F,S,2,28787.4,N,42,674435498,3825167800771248,19400101,4229 US HIGHWAY 17,,WEST MIFFLIN,PA,15122,5509,-79.874365,40.366386999999996,27972.8,58,13986,1398,14.5,1,10,1398.64,0.0
57,Adult,Low,M,M,1,13091.6,N,59,120152020,5432324961413634,19461216,PO BOX 40317,,CRAFTON,PA,15205,0,,,22792.28,20,11396,1139,5.0,1,8,1139.614,0.0
58,Adult,Low,F,M,2,62061.8,Y,46,197101653,7420841058238848,19470516,2144 N FLORIDA MANGO RD,,KENEDY,TX,78119,0,-97.845388,28.827448999999998,29862.99,52,14931,1493,13.0,1,8,1493.1495,0.0
